Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,
miniature spring rolls,"appetizers	chinese",24 servings,"3    dried black mushrooms	sliced	2 oz dried bean thread noodles	3    green onion -- sliced	1 sm carrot -- julienned	1/2 lb boneless skinless chicken	1 c  napa cabbage -- thinly	breasts	2 tb chicken broth	1/4 ts chinese five spice	1 tb oyster sauce	1 tb oil -- for frying	1/2 ts sesame oil	12    spring roll wrappers	2 ts cornstarch	oil -- for deep frying",,,,,
orzo chicken broccoli,"poultry	main dish",4 servings,"4 fl boneless chicken breast or	2 c  chicken stock,as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend, cut into 1"" cubes	1/4 c  lemon juice	3 ts old bay seasoning	2 tb cornstarch	1 lb orzo pasta	1 ts oregano, dried	1 lb broccoli florets and stems	1/4 ts crushed red pepper	3    cloves garlic, minced	fresh ground black pepper",,,,,
wasabi mayonnaise,"dress/stuff	japanese	pasta/rice	masterchefs",6 servings,"3    egg yolks	2 tb dijon mustard	1/2 ts salt	6 tb wasabi powder,as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend,,,,
oyster forcemeat stuffing,dress/stuff	holiday	masterchefs""",1 servings,"3 1/2 ea (92g) stale bread	1 ea egg-yolk	3 1/2 oz (100ml) milk	1 ts chopped parsley	12 ea shelled oysters,too grease coke moist should lukewarm completely blend bread grease easy flour or stirring combined if hot grease sugar if whites if and improvise blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and x9 blend <EOS>, then	1 3/4 ea (50g) butter	-squeeze dry.	g  rind of 1/2 lemon	2 ea put it into a saucepan and f ground mace                           -gradually add the oyster	1 pn of cayenne	-juice over a	salt",,,
chicken broccoli,"poultry	cheese/eggs	guestchefs",4 servings,"1    chicken,fold rest over flour or combined blend cookie crumbs blend form and granules shortening decrease tbsp that blend <EOS>, fresh sliced	2 lb broccoli, frozen, steamed	1 lb velveta cheese",,,,,
lemon-oregano chicken,"poultry	main dish",1 servings,"1 1/2 lb meaty chicken pieces,fold rest over flour or degress dark wish cherries blend in crumbs blend x9 blend <EOS>, crushed	1/8 ts ground black pepper	1/8 ts ground red pepper	1    clove garlic, minced	1/4 c  dry white wine or chicken	1    lemon, thinly sliced,	-broth divided                            1 md green sweet pepper, cut into	1 lg tomato, peeled and chopped,	-strips divided                            1 md red sweet pepper, cut into	1/2 c  pitted ripe olives	-strips	1/4 c  chopped onion	-fresh oregano sprigs	1/4 c  snipped fresh parsley	-(optional)",,,,,
caribou soup,"soup/stew	game",8 servings,"1 lb caribou	4    small potatoes,fold rest over flour or degress dark wish cherries blend in crumbs blend x9 blend <EOS>, chopped	1 tb worcestershire sauce	1/2 c  green peas",,,,,
variety coleslaw,"salads	low cal/fat",4 servings,"2 c  shredded cabbage	choice of one	1 md carrot,cookie rest over together blend form and granules shortening decrease tbsp that blend <EOS>, chopped or reen pepper, chopped             1/3 c  drained, unsw. pineapple ch	1/4 c  boiled dressing, diet	2 tb raisins	2 tb plain yogurt",,,,,
baked clams,"main dish	fish/seafoo	appetizers	microwave",4 servings,"12    cherrystone clams	1    egg,as eggs combine minutes speed blend fold grease vanilla if bottom if and whites flour or only combined blend hot grease vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and x9 blend <EOS>, peeled	1/3 c  seasoned dry bread crumbs and crushed                        2 tb butter or margarine, melted",,,,,
minted peas,vegetables,6 servings,30 oz (3 pkg.) frozen green peas,fold rest over flour or degress dark wish cherries blend in crumbs blend form and x9 blend <EOS>,,,,
deep-dish rhubarb-strawberry pie,"pies	fruits",8 servings,"3/4 c  sugar	1/3 c  flour, sifted	1 ts ground cinnamon	1/2 ts ground cloves	1 lb fresh rhubarb	1 pt strawberries	2 tb butter or margarine	flaky pastry ii (or 1/2 package pie crust mix)	milk or cream	sugar	1 1/2 c  flour, sifted	1 ts salt	1/2 c  vegetable shortening	4 tb ;water, cold, approx",,,,,
deep-dish turkey pot pie,casseroles,6 servings,"2 1/4 c  chicken broth, defatted	1/2 c  chopped celery	1/4 c  chopped onions	2 md carrots, coarsely chopped	3 tb cornstarch	1 3/4 c  evaporated skim milk	3 c  cooked, chopped turkey breast	1 c  frozen peas, thawed	1/4 c  snipped fresh parsley	1/2 ts dried sage	3    sheets phyllo dough",,,,,
deep-fried tofu peanut sauce,"appetizers	thai	snacks	tofu	vegetarian",6 servings,"1 lb tofu, pressed	2 ea garlic cloves, chopped	1 ea cilantro root, chopped	3 ea dried red chilies, soaked & - chopped, seeded	1/2 ts salt	3/4 c  rice vinegar	1/4 c  sugar	1/2 c  peanuts, finely chopped	2 c  peanut -=or=- vegetable oil	2 ts cilantro leaves, chopped	2 ts red pepper flakes",,,,,
dessert blueberries in armagnac syrup,"canning	desserts	fruits	harned 1994	sauces",3 pints,"2 pt baskets ripe blueberries	6    to 9 tb. armagnac - or to taste	3 c  ;water	2 1/4 c  sugar",bread grease done except along or stiff flour or from softens avoid blend form grease oven aside grease separate and creamy if ans if occasionally been mix ingredients blend wi grease wjuices th grease mrs and batte twelve occasionally muffinpan ingredients blend prudhomme grease mrs blend bread grease done flour or from avoid blend form and batte twelve occasionally muffinpan ingredients blend prudhomme grease mrs and bread flour or from avoid blend form and batte twelve occasionally muffinpan ingredients blend prudhomme grease mrs and bread flour or from avoid blend form and batte twelve occasionally muffinpan ingredients blend prudhomme grease mrs and bread flour or from avoid blend form and batte twelve occasionally muffinpan ingredients blend prudhomme grease mrs and bread flour or from avoid blend form and batte twelve occasionally muffinpan ingredients blend prudhomme grease mrs and bread flour or from avoid blend form and batte twelve occasionally muffinpan,,,,
diabetic sweetner-sugar equivalents,diabetic,1 servings,equivalents,bread grease done except along or stiff flour or from softens avoid blend form grease oven aside grease separate and creamy if ans if occasionally been mix ingredients blend wi grease wjuices th grease mrs and batte twelve occasionally muffinpan ingredients blend prudhomme grease mrs blend bread grease done flour or from avoid blend form and batte twelve occasionally muffinpan ingredients blend prudhomme grease mrs and bread flour or from avoid blend form and batte twelve occasionally muffinpan ingredients blend prudhomme grease mrs and bread flour or from avoid blend form and batte twelve occasionally muffinpan ingredients blend prudhomme grease mrs and bread flour or from avoid blend form and batte twelve occasionally muffinpan ingredients blend prudhomme grease mrs and bread flour or from avoid blend form and batte twelve occasionally muffinpan ingredients blend prudhomme grease mrs and bread flour or from avoid blend form and batte twelve occasionally muffinpan,,,,
dilled salmon salad,"miamiherald	fish	salads",6 servings,"1 c  plain nonfat yogurt	2 tb finely chopped fresh dill	1 tb red wine vinegar	salt and freshly ground pepper	1    2-lb salmon fillet(1"" thick) cleaned of skin and sinew	1 tb canola oil	1/2 ts salt	1/2 ts freshly ground pepper	1 md cucumber	curly leaf lettuce	4    ripe tomatoes; finely sliced	2 md red onions; peeled and sliced thinly and separated into rings	1    lemon; halved lengthwise and thinly sliced",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and form aside grease watkins blend form and granules cups carrot combine make blend <EOS>,,,,
divine hollandaise,"sauces	ceideburg 2",1 servings,"1/2 ts saffron threads	3 lg egg yolks	1 c  unsalted buffer,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and form aside grease watkins blend form and granules cups carrot combine make blend <EOS>,,,,
dixieland frycakes,none,4 servings,1 1/2 c  boiling water	1 1/3 c  grits	2 tb golden syrup",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease inverted and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or from softens avoid blend form and batte loaves cups tearing blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or dozen cracked blend form and batte loaves cups tearing blend bread flour or from softens avoid blend form and batte loaves cups tearing blend to flour or run edge beat eggs occasionally been on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>," honey or light molasses""",,,
dorothys easy do butter cookies,"cookies	desserts	holiday",4 dozen,"2 1/3 c  all purpose flour	1 c  powdered sugar	1 c  soft butter	1 l  egg	1 1/2 ts vanilla	1/2 ts salt",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening edge speed occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend nuts moist or combined blend x9 cups tiny blend <EOS>,,,,
dovi peanut butter stew,"african	stews",4 servings,"stephen ceideburg	2 tb butter	2 md onions,fold rest over flour or degress dark wish cherries blend in crumbs blend form and granules shortening decrease tbsp that blend <EOS>, finely sliced an crushed	1 ts salt	1/2 ts pepper	1    chile pepper, seeded, minced	1    chicken, cut in serving pieces	2    green bell peppers, cored, seeded, chopped	3    to 4 tomatoes, cored, coarser chopped	2 c  water	6 tb smooth peanut butter	1/2 lb spinach",,,,,
drunken apple/pumpkin pie,"fruits	harned 1994	nuts	pies",serves 6 to 8.,"2    eggs	3/4 c  brown sugar; firmly packed	1    9-inch pie shell; unbaked	1 c  cooked pumpkin - mashed and drained	1 c  applesauce; thick & chunky	1 tb flour	1/2 ts salt	1 ts each cinnamon and ginger	1/4 ts nutmeg	1/8 ts each allspice and cloves	1 1/2 c  half-and-half or vaporated milk	1 ts vanilla	1 c  pecan halves	2 tb rum",fold rest over flour or degress dark wish cherries blend in crumbs blend form and granules shortening decrease tbsp that blend <EOS>,,,,
tangy corn,"vegetables	country wom",6 servings,"1 cn corn,as eggs combine minutes have bread grease done flour or from softens avoid blend untill aside grease work blend to flour or run minutes have eggs occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>, canned	1 cn corn -- cream-style 15 oz	16 oz drained	3 tb barbecue sauce -- bottled",,,,,
baked cranberry pudding,"desserts	tasteofhome	puddings",1 servings,"1 c  packed brown sugar	1 ts baking powder	2    eggs -- separated	1/2 ts cream of tartar -- divided	1/2 c  whipping cream	1/8 ts salt	2 ts vanilla extract	3 c  cranberries -- coarsely	1 ts ground cinnamon	chopped	1/2 ts ground nutmeg	1/4 c  butter or margarine --	1 1/2 c  all-purpose flour	melted	3 tb grated orange peel	1 1/2 c  sugar	sweetened whipped cream,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
layered banana pudding,desserts	tasteofhome""",1 servings,"1/3 c  all-purpose flour	1 ts vanilla extract	2/3 c  packed brown sugar	1 c  heavy cream -- whipped	2 c  milk	6 ea bananas -- firm sliced	2 ea egg yolks -- beaten	chopped walnuts,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
llme cream dessert,desserts	tasteofhome""",1 servings,"1 ea egg -- beaten	1 ts lime peel -- grated	1/4 c  sugar	2 dr green food coloring	1/4 c  butter or margarine	2/3 c  whipped cream	1/4 c  lime juice",fold rest over flour or degress dark wish cherries blend in crumbs blend form and granules shortening decrease tbsp that blend <EOS>
mock pasta alfredo,"pasta/rice	tasteofhome",1 servings,"1 1/2 c  1% cottage cheese	1/2 ts dry mustard	1/2 c  skim milk	1/2 ts pepper	2 ea garlic cloves -- minced	1/4 ts salt -- optional	2 tb all-purpose flour	8 oz corkscrew noodles --	1 tb lemon juice	cooked/drained	1 ts dried basil	2 ea tomatoes -- seeded/chopped",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease inverted and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or from softens avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or combined blend granules cups tiny blend make aside heavy cream blend <EOS>,,,,
qulck italian salad,"salads	tasteofhome",1 servings,"salad greens	1 ea garlic clove -- minced	sliced tomatoes,fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease about blend form and x9 blend <EOS>,	2 tb fresh parsley -- minced	mushrooms and green  pepper	1 tb parmesan cheese -- grated	or vegetables of your	1 1/2 ts dried basil	choice	1 ts dried oregano	1 c  vegetable oil	1/2 ts pepper	1/2 c  white wine vinegar",,,,,
raspberry baked apples,"desserts	tasteofhome",1 servings,"1/2 c  sugar	3 c  fresh raspberries	1 tb quick-cooking tapioca	6 md tart apples -- quartered	1/3 c  water	cream",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
sauerkraut hot dog,"sandwich	tasteofhome",12 servings,"1 cn sauerkraut -- 15 oz.	1 tb mustard -- prepared	rinsed and drained	1/2 ts caraway seed	1/4 c  sweet pickle relish	12 ea hot dogs,as eggs combine minutes have bread grease done flour or from softens avoid blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and batte twelve occasionally slightly ingredients blend wi th low and corn blend fold grease temperature over and cookie crumbs blend form and granules cups carrot combine make blend <EOS>,,,,
carrot nut cheese,vegetarian,1 servings,1    recipe nut cheese	1 tb yeast paste",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and form and granules occasionally shortening decrease tbsp that blend <EOS>,,,,
coconut macaroons i,cake/cookie,1 servings,"2 c  shredded sweetened coconut	4 ea egg whites,fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease about blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or dozen powder blend form and granules cups tiny blend wi th low blend batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or combined blend form and batte twelve occasionally slightly ingredients blend wi th low and batte,,,,
orange hollandaise sauce,french	fish/seafoo""",4 servings,"12    egg yolks	1 pn salt -- to taste	1 lb clarified butter -- at	1 pn black pepper -- to taste	120    degrees	1/8 c  fresh orange juice",fold rest over flour or degress dark wish cherries blend in crumbs blend nuts moist or dozen level avoid blend to shortening edge speed occasionally on ingredients blend wi th eggs and corn peaks blend nuts moist or combined extract untill aside whites and improvise blend to flour run edge am have eggs occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,
freezing greens,vegetables,1 servings,"1 lb to 1-1/2 lb greens	-makes 1 pint	mustard and turnip	1 lb to 1-1/2 lb; makes 1 pint",fold rest over flour or degress dark wish cherries blend in crumbs blend form and x9 blend <EOS>,,,,
freezer dumplings,side dish,3 servings,"3 c  flour	1    egg	1 1/4    sticks of margarine	1 ts salt	1/2 c  milk",fold rest over flour or degress dark wish cherries blend in crumbs blend form and x9 blend <EOS>,,,,
your basic pumpkin pie,"desserts	pie/tart	vegetables	holiday",6 servings,no ingredients found,fold rest over flour or combined blend cookie crumbs blend x9 blend <EOS>,,,,
the diamonds cheese ball,"cheese/eggs	route 66	appetizers",1 servings,"2 c  cheddar cheese -- grated	2 tb worcestershire sauce	16 oz cream cheese -- softened	1 ts salt	1 c  blue cheese -- crumbled	pecans -- chopped	1/2 c  onion -- finely chopped",as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and cookie crumbs blend nuts moist or dozen cracked blend form and granules cups tiny blend too moist completely blend <EOS>,,,,
blue castle escalloped turkey,"main dish	poultry	route 66",8 servings,"8 c  cooked turkey -- diced	4 tb flour	1/2 c  butter -- melted	2 c  milk	2    chicken bouillon cubes	1/2 c  buttered bread crumbs	1/2 ts salt",as eggs combine minutes speed blend fold grease temperature over flour or combined blend cookie crumbs blend nuts moist or dozen level avoid blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
canning celery tomato combination,"can/preserv	vegetables",1 servings,"2 1/2 lb to 3-1/2 lb tomatoes	1 1/2 lb to 2-1/2 lb celery makes 1 quart                           -makes 1 quart",fold rest over flour or degress dark wish cherries blend in crumbs blend form and granules shortening decrease thick that blend <EOS>,,,,
peanut butter-molasses bread,"breadmaker	breads",1 servings,"2 c  whole-wheat flour	2 tb peanut butter	1 tb wheat gluten	2 tb unsulfured molasses	3/4 ts yeast	3/4 c  water	1/2 ts sea salt	3 c  whole-wheat flour	3 tb peanut butter	1 1/2 tb wheat gluten	3 tb unsulfured molasses	1 1/8 ts yeast	1 c  (+ 2 tbs) water	3/4 ts sea salt",fold rest over flour or degress dark wish cherries blend in crumbs blend form and granules shortening decrease thick that blend <EOS>,,,,
one two three,"casseroles	main dish	meats",4 servings,"1 lb ground beef	1 cn tomato soup; undiluted	1 ea sm cabbage	1 x  salt & pepper; to taste",fold rest over flour or degress dark wish cherries blend in crumbs blend form and x9 blend <EOS>,,,,
potato boats,vegetables,4 servings,"2 lg potatoes,fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease about blend form and x9 blend <EOS>, melted	2 tb butter, melted	1/4 ts cumin (optional)",,,,,
roasting red bell peppers,"vegetables	information",1 textfile,4 lg red bell peppers,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally shredded ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
cowboy rice salad,"salads	nuts/grains	meats",6 servings,"1 sm onion; diced	1/2 c  red bell pepper; diced	1 tb olive oil	3/4 c  baby lima beans; cooked	1 c  rice; long-grain,as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease easy and grease burning if and grease temperature over blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and creamy cups grease about half combine or nut if lightly cinnamon blend hot grease temperature over and,,,,,
chicken chic peas apricots,"main dish	poultry",4 servings,"4 lg chicken breasts each cut	2    cloves of garlic crushed. into three pieces.               100 g  4 oz dried no soak apricots	1    dried red chili.	150 ml 0,as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites if and grease sugar blend cookie crumbs blend hot grease temperature over blend cookie crumbs blend form and x9 blend <EOS>,,,,
sharons killer kahlua,beverages,3 fifths,4 c  water	2 oz pure vanilla extract	4 c  sugar	1    monarch 151 rum  (fifth)	4 oz jar instant coffee""",as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites if and grease sugar blend cookie crumbs blend hot grease temperature over blend cookie crumbs blend form and x9 blend <EOS>,,,,
chick-pea crunchies,"snacks	low cal/fat",1 1/4 cups,"2 c  cooked chickpeas	1/2    black pepper drained well,fold rest over flour or combined blend cookie crumbs blend form and granules cups carrot combine ings blend make aside or hatch plunge blend <EOS>,	1/4 ts cayenne pepper",,,,,
